Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Culman, M., Portocarrero, J.M.T., Guerrero, C.D., Bayona, C., Torres, J.L., De Farias, C.M.","56205876200;55364756600;23094317500;57194770719;57195505052;35519418700;","PalmNET: An open-source wireless sensor network for oil palm plantations",2017,"Proceedings of the 2017 IEEE 14th International Conference on Networking, Sensing and Control, ICNSC 2017",,,"8000190","783","788",,4,"10.1109/ICNSC.2017.8000190","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028514099&doi=10.1109%2fICNSC.2017.8000190&partnerID=40&md5=e1f3f438f5dd4d72b0be0b1d4b632b6c",Conference Paper,"Final","",Scopus,2-s2.0-85028514099
"Ljubobratović, D., Zhang, G., Bakarić, M.B., Jemrić, T., Matetić, M.","57221077893;57192423546;57193097914;9942326000;7801548142;","Predicting peach fruit ripeness using explainable machine learning",2020,"Annals of DAAAM and Proceedings of the International DAAAM Symposium","31","1",,"717","723",,,"10.2507/31st.daaam.proceedings.099","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098107458&doi=10.2507%2f31st.daaam.proceedings.099&partnerID=40&md5=56271af4be1ef3205d526dd323433aa9",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85098107458
"Hartzell, D., Seelan, S.K., Bolick, L.","36117684600;6701774802;57214967709;","Monitoring oil-palm and other threats to Tanjung Puting National Park, Indonesia, with synthetic aperture radar",2009,"60th International Astronautical Congress 2009, IAC 2009","3",,,"2557","2564",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953512047&partnerID=40&md5=3d84ed52c784d200b821e6f7aa1ea9db",Conference Paper,"Final","",Scopus,2-s2.0-77953512047
"Mavi, M.F., Husin, Z., Badlishah Ahmad, R., Yacob, Y.M., Farook, R.S.M., Tan, W.K.","57207471479;57201059019;57194844651;57188556952;26428761700;57207458751;","Mango ripeness classification system using hybrid technique",2019,"Indonesian Journal of Electrical Engineering and Computer Science","14","2",,"859","868",,2,"10.11591/ijeecs.v14.i2.pp859-868","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062550067&doi=10.11591%2fijeecs.v14.i2.pp859-868&partnerID=40&md5=efde6baaaf1b952d1376bf776b5abdfa",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85062550067
"Utom, S.L., Mohamad, E.J., Ameran, H.L.M., Kadir, H.A., Muji, S.Z.M., Rahim, R.A., Pusppanathan, J.","57204417418;12778166100;56609216500;35582533500;57198347174;6603216756;36933874800;","Non-Destructive Oil Palm Fresh Fruit Bunch (FFB) grading technique using optical sensor",2018,"International Journal of Integrated Engineering","10","1",,"35","39",,3,"10.30880/ijie.2018.10.01.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055479552&doi=10.30880%2fijie.2018.10.01.006&partnerID=40&md5=dc1e6d4b3dc8a6d62df34e53076a89c4",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85055479552
"Hawari, H.F., Samsudin, N.M., Shakaff, A.Y.Md., Wahab, Y., Hashim, U., Zakaria, A., Ghani, S.A., Ahmad, M.N.","55193221900;55193191300;8721012500;6507764452;22633937800;36560557700;24077329600;7402896132;","Highly selective molecular imprinted polymer (MIP) based sensor array using interdigitated electrode (IDE) platform for detection of mango ripeness",2013,"Sensors and Actuators, B: Chemical","187",,,"434","444",,28,"10.1016/j.snb.2013.01.045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885470915&doi=10.1016%2fj.snb.2013.01.045&partnerID=40&md5=47fc3d048e6c75ae4bb4480637f207b7",Article,"Final","",Scopus,2-s2.0-84885470915
"Kassim, M.S.M., Ismail, W.I.W., Teik, L.H.","55898304700;6603897473;56109247300;","Oil palm fruit classifications by using near infrared images",2014,"Research Journal of Applied Sciences, Engineering and Technology","7","11",,"2200","2207",,4,"10.19026/rjaset.7.517","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898052707&doi=10.19026%2frjaset.7.517&partnerID=40&md5=eb8303ec16b0b924558da6640f801e1e",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-84898052707
"Pobkrut, T., Eamsa-Ard, T., Kerdcharoen, T.","56466029500;57028307200;6602630793;","Sensor drone for aerial odor mapping for agriculture and security services",2016,"2016 13th International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology, ECTI-CON 2016",,,"7561340","","",,26,"10.1109/ECTICon.2016.7561340","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988835611&doi=10.1109%2fECTICon.2016.7561340&partnerID=40&md5=c4630b43bdc0b2b1ccfa1b9946136cd6",Conference Paper,"Final","",Scopus,2-s2.0-84988835611
"Yee, L.K., Abbas, Z., Jusoh, M.A., Yeow, Y.K., Meng, C.E.","35331385800;7005822035;56878665900;56023730400;57219023469;","Determination of moisture content in oil palm fruits using a five-port reflectometer",2011,"Sensors","11","4",,"4073","4085",,28,"10.3390/s110404073","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953851714&doi=10.3390%2fs110404073&partnerID=40&md5=331d60ee38df40cc7f43d27807420d1f",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-79953851714
"Hazir, M.H.M., Shariff, A.R.M.","57205175874;13612157400;","Oil palm physical and optical characteristics from two different: Planting materials",2011,"Research Journal of Applied Sciences, Engineering and Technology","3","9",,"953","962",,9,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-82555204739&partnerID=40&md5=d93425cb5c432a6a4fea9e3fa6060d3c",Article,"Final","",Scopus,2-s2.0-82555204739
"Yap, X.Y., Chia, K.S., Rahman, H.A., Teh, V.","57189375603;57204789479;55893920400;57214084238;","A non-destructive oil palm fruit freshness prediction system with artificial neural network",2019,"International Journal of Integrated Engineering","11","8",,"159","163",,,"10.30880/ijie.2019.11.08.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078219171&doi=10.30880%2fijie.2019.11.08.016&partnerID=40&md5=19d08216cec05c4fba8a91eb51fda487",Article,"Final","",Scopus,2-s2.0-85078219171
"Misron, N., Azhar, N.S.K., Hamidon, M.N., Aris, I., Tashiro, K., Nagata, H.","6505728008;57213002687;57193352921;6603306751;7202069301;57205762695;","Effect of charging parameter on fruit battery-based oil palm maturity sensor",2020,"Micromachines","11","9","806","","",,1,"10.3390/MI11090806","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091329774&doi=10.3390%2fMI11090806&partnerID=40&md5=2e5c4d595c694a6559f906417bccf8d5",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85091329774
"Ishak, W.I.W., Hudzari, R.M.","7004616193;57203644974;","Image based modeling for oil palm fruit maturity prediction",2010,"Journal of Food, Agriculture and Environment","8","2",,"469","476",,24,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952815483&partnerID=40&md5=b2eb758803ca2746c3286ae207108cd0",Article,"Final","",Scopus,2-s2.0-77952815483
"Ahmad, K.A.B., Othman, M., Syed Abdullah, S.L., Rasidah Ali, N., Muhamat Dawam, S.R.","57193028366;57220003035;56532444900;57216336997;57216339498;","Mango Shape Maturity Classification Using Image Processing",2019,"ICRAIE 2019 - 4th International Conference and Workshops on Recent Advances and Innovations in Engineering: Thriving Technologies",,,"9037776","","",,,"10.1109/ICRAIE47735.2019.9037776","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083173351&doi=10.1109%2fICRAIE47735.2019.9037776&partnerID=40&md5=24931d37aa0721d49803e582ad95f585",Conference Paper,"Final","",Scopus,2-s2.0-85083173351
"Chan, Y.K., Koo, V.C., Ang, C.Y., Yee, K.S., Chua, M.Y.","9243982200;55663712200;54400773000;54401831700;35219571500;","Design and development of a C-band RF transceiver for uavsar",2011,"Progress In Electromagnetics Research C","24",,,"1","12",,6,"10.2528/PIERC11071908","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82755164254&doi=10.2528%2fPIERC11071908&partnerID=40&md5=17a88b7c6fcd2481fa1e5135af9a3378",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-82755164254
"Adedayo, O., Onibonoje, M., Isa, M.","55598691900;57191984119;57225308405;","A layer-sensitivity based artificial neural network for characterization of oil palm fruitlets",2021,"International Journal of Applied Science and Engineering","18","1",,"1","7",,,"10.6703/IJASE.202103_18(1).011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101741350&doi=10.6703%2fIJASE.202103_18%281%29.011&partnerID=40&md5=469efeef5c202b5fa2ea3438c7587dba",Article,"Final","",Scopus,2-s2.0-85101741350
"Abbas, Z., Yeow, Y.K., Shaari, A.H., Zakaria, A., Hassan, J., Khalid, K., Saion, E.","7005822035;56023730400;55881421600;57216327687;12040391600;7004042433;6507321458;","Fast and accurate technique for determination of moisture content in oil palm fruits using open-ended coaxial sensor",2005,"Japanese Journal of Applied Physics, Part 1: Regular Papers and Short Notes and Review Papers","44","7 A",,"5272","5274",,9,"10.1143/JJAP.44.5272","https://www.scopus.com/inward/record.uri?eid=2-s2.0-31544472588&doi=10.1143%2fJJAP.44.5272&partnerID=40&md5=db33c815d7cbad5a3891558ca63251d4",Article,"Final","",Scopus,2-s2.0-31544472588
"Alfatni, M.S.M., Mohamed Shariff, A.R., Bejo, S.K., Ben Saaed, O.M., Mustapha, A.","24070118900;13612157400;8394157300;55669119800;35435550200;","Real-time oil palm FFB ripeness grading system based on ANN, KNN and SVM classifiers",2018,"IOP Conference Series: Earth and Environmental Science","169","1","012067","","",,4,"10.1088/1755-1315/169/1/012067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051935982&doi=10.1088%2f1755-1315%2f169%2f1%2f012067&partnerID=40&md5=be7a656ee56ea51fa482ea4ad66a5621",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85051935982
"Hazir, M.H.M., Shariff, A.R.M., Amiruddin, M.D., Ramli, A.R., Iqbal Saripan, M.","57203506523;13612157400;54406504700;26428905000;14010419600;","Oil palm bunch ripeness classification using fluorescence technique",2012,"Journal of Food Engineering","113","4",,"534","540",,25,"10.1016/j.jfoodeng.2012.07.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866391550&doi=10.1016%2fj.jfoodeng.2012.07.008&partnerID=40&md5=4be9c4f839f662856a598d61e0fa194e",Article,"Final","",Scopus,2-s2.0-84866391550
